age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion,surcharge_ressentie,surcharge_non_recompensee,ratio_revenu_poste,ratio_augmentation_promotion,revenu_satisfaction
41,1,5993,Célibataire,Commercial,Cadre Commercial,8,6,2,3,4,1,1,1,11,0,0,1,2,Infra & Cloud,Occasionnel,0,1,1,0.8653802796813134,11.0,0
49,0,5130,Marié(e),Consulting,Assistant de Direction,1,10,3,2,2,4,3,0,23,1,3,8,1,Infra & Cloud,Frequent,1,0,0,1.5828581814185663,11.5,0
37,0,2090,Célibataire,Consulting,Consultant,6,0,4,2,3,2,3,1,15,0,3,2,2,Autre,Occasionnel,0,0,0,0.6454262978039458,15.0,0
33,1,2909,Marié(e),Consulting,Assistant de Direction,1,8,4,3,3,3,3,1,11,0,3,3,4,Infra & Cloud,Frequent,3,0,1,0.8975700681767269,2.75,0
27,0,3468,Marié(e),Consulting,Consultant,9,2,1,3,2,4,3,0,12,1,3,2,1,Transformation Digitale,Occasionnel,2,0,0,1.0709753113799445,4.0,0
32,0,3068,Célibataire,Consulting,Consultant,0,7,4,3,4,3,2,0,13,0,2,2,2,Infra & Cloud,Frequent,3,0,0,0.9474487472069404,3.25,0
59,1,2670,Marié(e),Consulting,Consultant,4,1,3,4,1,1,2,1,20,3,3,3,3,Transformation Digitale,Occasionnel,0,1,0,0.8245398158548015,20.0,1
30,0,2693,Divorcé(e),Consulting,Consultant,1,1,4,3,3,2,3,0,22,1,2,24,1,Infra & Cloud,Occasionnel,0,0,0,0.8316425932947492,22.0,0
38,0,9526,Célibataire,Consulting,Tech Lead,0,9,4,2,3,2,3,0,21,0,2,23,3,Infra & Cloud,Frequent,1,0,0,1.305622247008337,10.5,0
36,0,5237,Marié(e),Consulting,Manager,6,7,3,3,3,2,2,0,13,2,3,27,3,Transformation Digitale,Occasionnel,7,0,0,0.695506585063448,1.625,0
35,0,2426,Marié(e),Consulting,Consultant,0,5,1,4,2,3,3,0,13,1,5,16,3,Transformation Digitale,Occasionnel,0,0,0,0.7491886117092691,13.0,1
29,1,4193,Célibataire,Consulting,Consultant,0,9,4,2,3,4,3,1,12,0,3,15,2,Infra & Cloud,Occasionnel,0,0,0,1.294867208943514,12.0,0
31,0,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,1,3,3,4,2,0,17,1,1,26,1,Infra & Cloud,Occasionnel,4,0,0,0.898187166882933,3.4,1
34,0,2661,Divorcé(e),Consulting,Consultant,0,2,2,3,4,3,3,0,11,1,2,19,2,Transformation Digitale,Occasionnel,1,0,0,0.8217604681609089,5.5,0
28,0,2028,Célibataire,Consulting,Consultant,5,4,3,2,3,2,3,1,14,0,4,24,3,Infra & Cloud,Occasionnel,0,0,0,0.6262796803571301,14.0,0
29,1,9980,Divorcé(e),Consulting,Tech Lead,1,10,2,4,1,3,3,0,11,1,1,21,4,Infra & Cloud,Occasionnel,8,0,0,1.3678469478420325,1.2222222222222223,0
32,0,3298,Divorcé(e),Consulting,Assistant de Direction,0,6,1,4,2,4,2,1,12,2,5,5,2,Infra & Cloud,Occasionnel,0,1,0,1.0175957665338073,12.0,0
22,0,2935,Divorcé(e),Consulting,Consultant,1,1,4,4,4,2,2,1,13,2,2,16,2,Transformation Digitale,Aucun,0,1,0,0.9063761646194166,13.0,0
53,1,15427,Marié(e),Commercial,Senior Manager,2,25,1,2,4,3,3,0,16,0,3,2,4,Infra & Cloud,Occasionnel,3,0,0,0.8978228756391099,4.0,0
38,0,3944,Célibataire,Consulting,Assistant de Direction,5,3,4,3,4,3,3,1,11,0,3,2,3,Infra & Cloud,Occasionnel,1,0,1,1.2169186486383674,5.5,0
24,1,4011,Divorcé(e),Consulting,Tech Lead,0,4,1,4,3,4,2,0,18,1,5,11,2,Autre,Aucun,1,0,0,0.5497428965725845,9.0,0
36,0,3407,Célibataire,Commercial,Représentant Commercial,7,5,3,2,1,2,3,0,23,0,4,9,4,Infra & Cloud,Occasionnel,0,0,0,1.296916634944804,23.0,0
34,1,11994,Célibataire,Consulting,Directeur Technique,0,12,1,3,2,3,3,0,11,0,4,7,4,Infra & Cloud,Occasionnel,2,0,0,0.748009766410657,3.6666666666666665,0
21,0,1232,Célibataire,Consulting,Assistant de Direction,1,0,3,3,4,4,3,0,14,0,6,15,2,Infra & Cloud,Occasionnel,0,0,0,0.38013280302293834,14.0,0
34,0,2960,Célibataire,Consulting,Assistant de Direction,2,4,2,3,1,3,3,0,11,0,2,6,1,Transformation Digitale,Occasionnel,1,0,0,0.9133060851849817,5.5,0
53,1,19094,Divorcé(e),Consulting,Senior Manager,4,14,3,3,3,4,2,0,11,1,3,5,3,Autre,Occasionnel,4,0,0,1.1112354953946435,2.2,0
32,1,3919,Célibataire,Consulting,Assistant de Direction,1,10,2,1,1,2,3,1,22,0,5,16,1,Infra & Cloud,Frequent,6,0,0,1.2092049148107917,3.142857142857143,0
42,0,6825,Marié(e),Commercial,Cadre Commercial,0,9,3,3,2,4,3,0,11,1,2,8,4,Marketing,Occasionnel,4,0,0,0.9855198412856606,2.2,0
44,1,10248,Marié(e),Consulting,Manager,3,22,1,2,4,4,3,0,14,1,4,7,4,Transformation Digitale,Occasionnel,5,0,0,1.3609989466737091,2.3333333333333335,0
46,1,18947,Célibataire,Commercial,Senior Manager,3,2,2,3,1,4,2,0,12,0,2,2,4,Marketing,Occasionnel,2,0,0,1.1026803671960987,4.0,0
33,0,2496,Célibataire,Consulting,Consultant,4,1,3,3,4,4,3,0,11,0,3,2,3,Transformation Digitale,Occasionnel,0,0,0,0.7708057604395447,11.0,0
44,0,6465,Marié(e),Consulting,Manager,2,4,4,3,4,4,4,1,13,0,5,10,4,Autre,Occasionnel,1,0,0,0.8585927195789939,6.5,0
30,0,2206,Célibataire,Consulting,Consultant,1,10,4,2,3,1,3,0,13,0,5,9,2,Transformation Digitale,Occasionnel,1,0,0,0.6812490014141169,6.5,0
39,0,2086,Marié(e),Commercial,Représentant Commercial,3,1,4,3,4,3,4,0,14,1,6,5,3,Entrepreunariat,Occasionnel,0,0,0,0.794061667301104,14.0,0
24,0,2293,Marié(e),Consulting,Assistant de Direction,2,2,2,3,4,1,2,1,16,1,2,1,3,Transformation Digitale,Occasionnel,2,1,0,0.7075036666652578,5.333333333333333,1
43,1,2645,Divorcé(e),Consulting,Assistant de Direction,1,5,4,4,3,4,2,0,12,2,3,2,2,Transformation Digitale,Occasionnel,1,0,0,0.8161130389575258,6.0,0
50,0,2683,Marié(e),Commercial,Représentant Commercial,1,3,1,2,3,3,3,1,14,0,2,3,2,Marketing,Occasionnel,0,0,0,1.021317091739627,14.0,1
35,1,2014,Marié(e),Commercial,Représentant Commercial,1,2,4,3,4,1,3,0,13,0,3,2,3,Marketing,Occasionnel,2,0,0,0.7666539779215835,4.333333333333333,0
